REF_DATE,GEO,Gender,Sociodemographic_characteristics,Indicators,VALUE
2023-04,Canada (excluding territories),Men,"Total, by Indigenous identity",Fair or poor perceived mental health,16.7
2023-04,Canada (excluding territories),Men,Indigenous identity,Excellent or very good perceived mental health,35.5
2023-04,Canada (excluding territories),Men,Indigenous identity,Good perceived mental health,31.7
2023-04,Canada (excluding territories),Men,Indigenous identity,Fair or poor perceived mental health,32.8
2023-04,Canada (excluding territories),Men,Single Indigenous identity,Excellent or very good perceived mental health,35.3
2023-04,Canada (excluding territories),Men,Single Indigenous identity,Good perceived mental health,31.8
2023-04,Canada (excluding territories),Men,Single Indigenous identity,Fair or poor perceived mental health,32.9
2023-04,Canada (excluding territories),Men,First Nations,Excellent or very good perceived mental health,NA
2023-04,Canada (excluding territories),Men,First Nations,Good perceived mental health,NA
2023-04,Canada (excluding territories),Men,First Nations,Fair or poor perceived mental health,NA
2023-04,Canada (excluding territories),Men,Métis,Excellent or very good perceived mental health,NA
2023-04,Canada (excluding territories),Men,Métis,Good perceived mental health,NA
2023-04,Canada (excluding territories),Men,Métis,Fair or poor perceived mental health,NA
2023-04,Canada (excluding territories),Men,Inuk (Inuit),Excellent or very good perceived mental health,NA
2023-04,Canada (excluding territories),Men,Inuk (Inuit),Good perceived mental health,NA
2023-04,Canada (excluding territories),Men,Inuk (Inuit),Fair or poor perceived mental health,NA
2023-04,Canada (excluding territories),Men,Multiple Indigenous identities,Excellent or very good perceived mental health,NA
2023-04,Canada (excluding territories),Men,Multiple Indigenous identities,Good perceived mental health,NA
2023-04,Canada (excluding territories),Men,Multiple Indigenous identities,Fair or poor perceived mental health,NA
2023-04,Canada (excluding territories),Men,Non-Indigenous identity,Excellent or very good perceived mental health,54.1
2023-04,Canada (excluding territories),Men,Non-Indigenous identity,Good perceived mental health,29.6
2023-04,Canada (excluding territories),Men,Non-Indigenous identity,Fair or poor perceived mental health,16.3
2023-04,Canada (excluding territories),Men,"Total, persons with and without a disability, difficulty or long-term condition",Excellent or very good perceived mental health,53.6
2023-04,Canada (excluding territories),Men,"Total, persons with and without a disability, difficulty or long-term condition",Good perceived mental health,29.6
2023-04,Canada (excluding territories),Men,"Total, persons with and without a disability, difficulty or long-term condition",Fair or poor perceived mental health,16.7
2023-04,Canada (excluding territories),Men,"Persons with a disability, difficulty or long-term condition",Excellent or very good perceived mental health,37.3
2023-04,Canada (excluding territories),Men,"Persons with a disability, difficulty or long-term condition",Good perceived mental health,33.5
2023-04,Canada (excluding territories),Men,"Persons with a disability, difficulty or long-term condition",Fair or poor perceived mental health,29.2
2023-04,Canada (excluding territories),Men,"Persons without a disability, difficulty or long-term condition",Excellent or very good perceived mental health,63.5
2023-04,Canada (excluding territories),Men,"Persons without a disability, difficulty or long-term condition",Good perceived mental health,27.3
2023-04,Canada (excluding territories),Men,"Persons without a disability, difficulty or long-term condition",Fair or poor perceived mental health,9.2
2023-04,Canada (excluding territories),Men,"Total, LGBTQ2+ and non-LGBTQ2+ people",Excellent or very good perceived mental health,53.6
2023-04,Canada (excluding territories),Men,"Total, LGBTQ2+ and non-LGBTQ2+ people",Good perceived mental health,29.6
2023-04,Canada (excluding territories),Men,"Total, LGBTQ2+ and non-LGBTQ2+ people",Fair or poor perceived mental health,16.7
2023-04,Canada (excluding territories),Men,LGBTQ2+ people,Excellent or very good perceived mental health,33.3
2023-04,Canada (excluding territories),Men,LGBTQ2+ people,Good perceived mental health,26.8
2023-04,Canada (excluding territories),Men,LGBTQ2+ people,Fair or poor perceived mental health,39.9
2023-04,Canada (excluding territories),Men,Non-LGBTQ2+ people,Excellent or very good perceived mental health,54.8
2023-04,Canada (excluding territories),Men,Non-LGBTQ2+ people,Good perceived mental health,29.8
2023-04,Canada (excluding territories),Men,Non-LGBTQ2+ people,Fair or poor perceived mental health,15.4
2023-04,Canada (excluding territories),Men,"Total, highest certificate, diploma or degree",Excellent or very good perceived mental health,53.6
2023-04,Canada (excluding territories),Men,"Total, highest certificate, diploma or degree",Good perceived mental health,29.6
2023-04,Canada (excluding territories),Men,"Total, highest certificate, diploma or degree",Fair or poor perceived mental health,16.7
2023-04,Canada (excluding territories),Men,"No certificate, diploma or degree",Excellent or very good perceived mental health,51.9
2023-04,Canada (excluding territories),Men,"No certificate, diploma or degree",Good perceived mental health,30.1
2023-04,Canada (excluding territories),Men,"No certificate, diploma or degree",Fair or poor perceived mental health,18
2023-04,Canada (excluding territories),Men,Secondary (high) school diploma or equivalency certificate,Excellent or very good perceived mental health,49.2
2023-04,Canada (excluding territories),Men,Secondary (high) school diploma or equivalency certificate,Good perceived mental health,27.5
2023-04,Canada (excluding territories),Men,Secondary (high) school diploma or equivalency certificate,Fair or poor perceived mental health,23.4
2023-04,Canada (excluding territories),Men,"Postsecondary certificate, diploma or degree",Excellent or very good perceived mental health,55.8
2023-04,Canada (excluding territories),Men,"Postsecondary certificate, diploma or degree",Good perceived mental health,30.4
2023-04,Canada (excluding territories),Men,"Postsecondary certificate, diploma or degree",Fair or poor perceived mental health,13.8
2023-04,Canada (excluding territories),Men,Postsecondary certificate or diploma below bachelor level,Excellent or very good perceived mental health,54.3
2023-04,Canada (excluding territories),Men,Postsecondary certificate or diploma below bachelor level,Good perceived mental health,31.3
2023-04,Canada (excluding territories),Men,Postsecondary certificate or diploma below bachelor level,Fair or poor perceived mental health,14.4
2023-04,Canada (excluding territories),Men,Apprenticeship or trades certificate or diploma,Excellent or very good perceived mental health,52.7
2023-04,Canada (excluding territories),Men,Apprenticeship or trades certificate or diploma,Good perceived mental health,33.9
2023-04,Canada (excluding territories),Men,Apprenticeship or trades certificate or diploma,Fair or poor perceived mental health,13.5
2023-04,Canada (excluding territories),Men,"College, CEGEP or other non-university certificate or diploma",Excellent or very good perceived mental health,56.6
2023-04,Canada (excluding territories),Men,"College, CEGEP or other non-university certificate or diploma",Good perceived mental health,29.8
2023-04,Canada (excluding territories),Men,"College, CEGEP or other non-university certificate or diploma",Fair or poor perceived mental health,13.5
2023-04,Canada (excluding territories),Men,University certificate or diploma below bachelor level,Excellent or very good perceived mental health,50.6
2023-04,Canada (excluding territories),Men,University certificate or diploma below bachelor level,Good perceived mental health,29.8
2023-04,Canada (excluding territories),Men,University certificate or diploma below bachelor level,Fair or poor perceived mental health,19.6
2023-04,Canada (excluding territories),Men,Bachelor's degree or higher,Excellent or very good perceived mental health,57.5
2023-04,Canada (excluding territories),Men,Bachelor's degree or higher,Good perceived mental health,29.4
2023-04,Canada (excluding territories),Men,Bachelor's degree or higher,Fair or poor perceived mental health,13.1
2023-04,Canada (excluding territories),Men,Bachelor's degree,Excellent or very good perceived mental health,55.3
2023-04,Canada (excluding territories),Men,Bachelor's degree,Good perceived mental health,29.7
2023-04,Canada (excluding territories),Men,Bachelor's degree,Fair or poor perceived mental health,15
2023-04,Canada (excluding territories),Men,"University certificate, diploma or degree above bachelor level",Excellent or very good perceived mental health,60.9
2023-04,Canada (excluding territories),Men,"University certificate, diploma or degree above bachelor level",Good perceived mental health,29
2023-04,Canada (excluding territories),Men,"University certificate, diploma or degree above bachelor level",Fair or poor perceived mental health,10.1
2023-04,Canada (excluding territories),Men,"Total, by main activity",Excellent or very good perceived mental health,53.6
2023-04,Canada (excluding territories),Men,"Total, by main activity",Good perceived mental health,29.6
2023-04,Canada (excluding territories),Men,"Total, by main activity",Fair or poor perceived mental health,16.7
2023-04,Canada (excluding territories),Men,Working at a paid job or business,Excellent or very good perceived mental health,53.8
2023-04,Canada (excluding territories),Men,Working at a paid job or business,Good perceived mental health,30.8
2023-04,Canada (excluding territories),Men,Working at a paid job or business,Fair or poor perceived mental health,15.4
2023-04,Canada (excluding territories),Men,Retired,Excellent or very good perceived mental health,60.1
2023-04,Canada (excluding territories),Men,Retired,Good perceived mental health,29.1
2023-04,Canada (excluding territories),Men,Retired,Fair or poor perceived mental health,10.8
2023-04,Canada (excluding territories),Men,Other activity,Excellent or very good perceived mental health,47.6
2023-04,Canada (excluding territories),Men,Other activity,Good perceived mental health,27.2
2023-04,Canada (excluding territories),Men,Other activity,Fair or poor perceived mental health,25.2
2023-04,Canada (excluding territories),Men,"Total, urban and rural areas",Excellent or very good perceived mental health,53.6
2023-04,Canada (excluding territories),Men,"Total, urban and rural areas",Good perceived mental health,29.6
2023-04,Canada (excluding territories),Men,"Total, urban and rural areas",Fair or poor perceived mental health,16.7
2023-04,Canada (excluding territories),Men,Urban areas,Excellent or very good perceived mental health,52.6
2023-04,Canada (excluding territories),Men,Urban areas,Good perceived mental health,30.1
2023-04,Canada (excluding territories),Men,Urban areas,Fair or poor perceived mental health,17.3
2023-04,Canada (excluding territories),Men,Rural areas,Excellent or very good perceived mental health,60.8
2023-04,Canada (excluding territories),Men,Rural areas,Good perceived mental health,26.6
2023-04,Canada (excluding territories),Men,Rural areas,Fair or poor perceived mental health,12.6
2023-04,Canada (excluding territories),Women,"Total, 15 years and over",Excellent or very good perceived mental health,43.9
2023-04,Canada (excluding territories),Women,"Total, 15 years and over",Good perceived mental health,34.9
2023-04,Canada (excluding territories),Women,"Total, 15 years and over",Fair or poor perceived mental health,21.1
2023-04,Canada (excluding territories),Women,15 to 24 years,Excellent or very good perceived mental health,32.9
2023-04,Canada (excluding territories),Women,15 to 24 years,Good perceived mental health,31.7
2023-04,Canada (excluding territories),Women,15 to 24 years,Fair or poor perceived mental health,35.5
2023-04,Canada (excluding territories),Women,25 to 54 years,Excellent or very good perceived mental health,40.3
2023-04,Canada (excluding territories),Women,25 to 54 years,Good perceived mental health,37.7
2023-04,Canada (excluding territories),Women,25 to 54 years,Fair or poor perceived mental health,22.1
2023-04,Canada (excluding territories),Women,25 to 34 years,Excellent or very good perceived mental health,36.5
2023-04,Canada (excluding territories),Women,25 to 34 years,Good perceived mental health,40.6
2023-04,Canada (excluding territories),Women,25 to 34 years,Fair or poor perceived mental health,23
2023-04,Canada (excluding territories),Women,35 to 44 years,Excellent or very good perceived mental health,41.2
2023-04,Canada (excluding territories),Women,35 to 44 years,Good perceived mental health,37.4
2023-04,Canada (excluding territories),Women,35 to 44 years,Fair or poor perceived mental health,21.5
2023-04,Canada (excluding territories),Women,45 to 54 years,Excellent or very good perceived mental health,43.4
2023-04,Canada (excluding territories),Women,45 to 54 years,Good perceived mental health,34.8
2023-04,Canada (excluding territories),Women,45 to 54 years,Fair or poor perceived mental health,21.8
2023-04,Canada (excluding territories),Women,55 to 64 years,Excellent or very good perceived mental health,46.9
2023-04,Canada (excluding territories),Women,55 to 64 years,Good perceived mental health,33.8
2023-04,Canada (excluding territories),Women,55 to 64 years,Fair or poor perceived mental health,19.3
2023-04,Canada (excluding territories),Women,65 years and over,Excellent or very good perceived mental health,55.6
2023-04,Canada (excluding territories),Women,65 years and over,Good perceived mental health,32.2
2023-04,Canada (excluding territories),Women,65 years and over,Fair or poor perceived mental health,12.2
2023-04,Canada (excluding territories),Women,65 to 74 years,Excellent or very good perceived mental health,53.8
2023-04,Canada (excluding territories),Women,65 to 74 years,Good perceived mental health,31.6
2023-04,Canada (excluding territories),Women,65 to 74 years,Fair or poor perceived mental health,14.6
2023-04,Canada (excluding territories),Women,75 years and over,Excellent or very good perceived mental health,58.4
2023-04,Canada (excluding territories),Women,75 years and over,Good perceived mental health,33.1
2023-04,Canada (excluding territories),Women,75 years and over,Fair or poor perceived mental health,8.5
2023-04,Canada (excluding territories),Women,"Total, by immigrant status",Excellent or very good perceived mental health,43.9
2023-04,Canada (excluding territories),Women,"Total, by immigrant status",Good perceived mental health,34.9
2023-04,Canada (excluding territories),Women,"Total, by immigrant status",Fair or poor perceived mental health,21.1
2023-04,Canada (excluding territories),Women,Non-immigrants,Excellent or very good perceived mental health,43.4
2023-04,Canada (excluding territories),Women,Non-immigrants,Good perceived mental health,34.7
2023-04,Canada (excluding territories),Women,Non-immigrants,Fair or poor perceived mental health,21.9
2023-04,Canada (excluding territories),Women,Immigrants,Excellent or very good perceived mental health,45.1
2023-04,Canada (excluding territories),Women,Immigrants,Good perceived mental health,35.9
2023-04,Canada (excluding territories),Women,Immigrants,Fair or poor perceived mental health,19
2023-04,Canada (excluding territories),Women,"Immigrants, 10 years or less in Canada",Excellent or very good perceived mental health,53.8
2023-04,Canada (excluding territories),Women,"Immigrants, 10 years or less in Canada",Good perceived mental health,29.1
2023-04,Canada (excluding territories),Women,"Immigrants, 10 years or less in Canada",Fair or poor perceived mental health,17.1
2023-04,Canada (excluding territories),Women,"Immigrants, more than 10 years in Canada",Excellent or very good perceived mental health,41.9
2023-04,Canada (excluding territories),Women,"Immigrants, more than 10 years in Canada",Good perceived mental health,38.3
2023-04,Canada (excluding territories),Women,"Immigrants, more than 10 years in Canada",Fair or poor perceived mental health,19.7
2023-04,Canada (excluding territories),Women,"Immigrants, years in Canada not stated",Excellent or very good perceived mental health,NA
2023-04,Canada (excluding territories),Women,"Immigrants, years in Canada not stated",Good perceived mental health,NA
2023-04,Canada (excluding territories),Women,"Immigrants, years in Canada not stated",Fair or poor perceived mental health,NA
2023-04,Canada (excluding territories),Women,Non-permanent residents,Excellent or very good perceived mental health,NA
2023-04,Canada (excluding territories),Women,Non-permanent residents,Good perceived mental health,NA
2023-04,Canada (excluding territories),Women,Non-permanent residents,Fair or poor perceived mental health,NA
2023-04,Canada (excluding territories),Women,"Total, by visible minority group",Excellent or very good perceived mental health,43.9
2023-04,Canada (excluding territories),Women,"Total, by visible minority group",Good perceived mental health,34.9
2023-04,Canada (excluding territories),Women,"Total, by visible minority group",Fair or poor perceived mental health,21.1
2023-04,Canada (excluding territories),Women,Visible minority population,Excellent or very good perceived mental health,41
2023-04,Canada (excluding territories),Women,Visible minority population,Good perceived mental health,37.8
2023-04,Canada (excluding territories),Women,Visible minority population,Fair or poor perceived mental health,21.2
2023-04,Canada (excluding territories),Women,South Asian,Excellent or very good perceived mental health,36
2023-04,Canada (excluding territories),Women,South Asian,Good perceived mental health,43.6
2023-04,Canada (excluding territories),Women,South Asian,Fair or poor perceived mental health,20.4
2023-04,Canada (excluding territories),Women,Chinese,Excellent or very good perceived mental health,38.3
2023-04,Canada (excluding territories),Women,Chinese,Good perceived mental health,43
2023-04,Canada (excluding territories),Women,Chinese,Fair or poor perceived mental health,18.6
2023-04,Canada (excluding territories),Women,Black,Excellent or very good perceived mental health,56
2023-04,Canada (excluding territories),Women,Black,Good perceived mental health,25.3
2023-04,Canada (excluding territories),Women,Black,Fair or poor perceived mental health,18.6
2023-04,Canada (excluding territories),Women,Filipino,Excellent or very good perceived mental health,41.1
2023-04,Canada (excluding territories),Women,Filipino,Good perceived mental health,41.1
2023-04,Canada (excluding territories),Women,Filipino,Fair or poor perceived mental health,17.8
2023-04,Canada (excluding territories),Women,Arab,Excellent or very good perceived mental health,NA
2023-04,Canada (excluding territories),Women,Arab,Good perceived mental health,NA
2023-04,Canada (excluding territories),Women,Arab,Fair or poor perceived mental health,NA
2023-04,Canada (excluding territories),Women,Latin American,Excellent or very good perceived mental health,NA
2023-04,Canada (excluding territories),Women,Latin American,Good perceived mental health,NA
2023-04,Canada (excluding territories),Women,Latin American,Fair or poor perceived mental health,NA
2023-04,Canada (excluding territories),Women,Southeast Asian,Excellent or very good perceived mental health,NA
2023-04,Canada (excluding territories),Women,Southeast Asian,Good perceived mental health,NA
2023-04,Canada (excluding territories),Women,Southeast Asian,Fair or poor perceived mental health,NA
2023-04,Canada (excluding territories),Women,West Asian,Excellent or very good perceived mental health,NA
2023-04,Canada (excluding territories),Women,West Asian,Good perceived mental health,NA
2023-04,Canada (excluding territories),Women,West Asian,Fair or poor perceived mental health,NA
2023-04,Canada (excluding territories),Women,Korean,Excellent or very good perceived mental health,NA
2023-04,Canada (excluding territories),Women,Korean,Good perceived mental health,NA
2023-04,Canada (excluding territories),Women,Korean,Fair or poor perceived mental health,NA
2023-04,Canada (excluding territories),Women,Japanese,Excellent or very good perceived mental health,NA
2023-04,Canada (excluding territories),Women,Japanese,Good perceived mental health,NA
2023-04,Canada (excluding territories),Women,Japanese,Fair or poor perceived mental health,NA
2023-04,Canada (excluding territories),Women,"Visible minority, not included elsewhere",Excellent or very good perceived mental health,NA
2023-04,Canada (excluding territories),Women,"Visible minority, not included elsewhere",Good perceived mental health,NA
2023-04,Canada (excluding territories),Women,"Visible minority, not included elsewhere",Fair or poor perceived mental health,NA
2023-04,Canada (excluding territories),Women,Multiple visible minorities,Excellent or very good perceived mental health,NA
2023-04,Canada (excluding territories),Women,Multiple visible minorities,Good perceived mental health,NA
2023-04,Canada (excluding territories),Women,Multiple visible minorities,Fair or poor perceived mental health,NA
2023-04,Canada (excluding territories),Women,Not a visible minority,Excellent or very good perceived mental health,44.9
2023-04,Canada (excluding territories),Women,Not a visible minority,Good perceived mental health,34
2023-04,Canada (excluding territories),Women,Not a visible minority,Fair or poor perceived mental health,21.1
2023-04,Canada (excluding territories),Women,"Total, by Indigenous identity",Excellent or very good perceived mental health,43.9
2023-04,Canada (excluding territories),Women,"Total, by Indigenous identity",Good perceived mental health,34.9
2023-04,Canada (excluding territories),Women,"Total, by Indigenous identity",Fair or poor perceived mental health,21.1
2023-04,Canada (excluding territories),Women,Indigenous identity,Excellent or very good perceived mental health,38.5
2023-04,Canada (excluding territories),Women,Indigenous identity,Good perceived mental health,38.4
2023-04,Canada (excluding territories),Women,Indigenous identity,Fair or poor perceived mental health,23.1
2023-04,Canada (excluding territories),Women,Single Indigenous identity,Excellent or very good perceived mental health,38.8
2023-04,Canada (excluding territories),Women,Single Indigenous identity,Good perceived mental health,37.9
2023-04,Canada (excluding territories),Women,Single Indigenous identity,Fair or poor perceived mental health,23.3
2023-04,Canada (excluding territories),Women,First Nations,Excellent or very good perceived mental health,38
2023-04,Canada (excluding territories),Women,First Nations,Good perceived mental health,34.8
2023-04,Canada (excluding territories),Women,First Nations,Fair or poor perceived mental health,27.2
2023-04,Canada (excluding territories),Women,Métis,Excellent or very good perceived mental health,38.2
2023-04,Canada (excluding territories),Women,Métis,Good perceived mental health,41.6
2023-04,Canada (excluding territories),Women,Métis,Fair or poor perceived mental health,20.2
2023-04,Canada (excluding territories),Women,Inuk (Inuit),Excellent or very good perceived mental health,NA
2023-04,Canada (excluding territories),Women,Inuk (Inuit),Good perceived mental health,NA
2023-04,Canada (excluding territories),Women,Inuk (Inuit),Fair or poor perceived mental health,NA
2023-04,Canada (excluding territories),Women,Multiple Indigenous identities,Excellent or very good perceived mental health,NA
2023-04,Canada (excluding territories),Women,Multiple Indigenous identities,Good perceived mental health,NA
2023-04,Canada (excluding territories),Women,Multiple Indigenous identities,Fair or poor perceived mental health,NA
2023-04,Canada (excluding territories),Women,Non-Indigenous identity,Excellent or very good perceived mental health,44.1
2023-04,Canada (excluding territories),Women,Non-Indigenous identity,Good perceived mental health,34.8
2023-04,Canada (excluding territories),Women,Non-Indigenous identity,Fair or poor perceived mental health,21.1
2023-04,Canada (excluding territories),Women,"Total, persons with and without a disability, difficulty or long-term condition",Excellent or very good perceived mental health,43.9
2023-04,Canada (excluding territories),Women,"Total, persons with and without a disability, difficulty or long-term condition",Good perceived mental health,34.9
2023-04,Canada (excluding territories),Women,"Total, persons with and without a disability, difficulty or long-term condition",Fair or poor perceived mental health,21.1
2023-04,Canada (excluding territories),Women,"Persons with a disability, difficulty or long-term condition",Excellent or very good perceived mental health,28.5
2023-04,Canada (excluding territories),Women,"Persons with a disability, difficulty or long-term condition",Good perceived mental health,35.8
2023-04,Canada (excluding territories),Women,"Persons with a disability, difficulty or long-term condition",Fair or poor perceived mental health,35.8
2023-04,Canada (excluding territories),Women,"Persons without a disability, difficulty or long-term condition",Excellent or very good perceived mental health,56.1
2023-04,Canada (excluding territories),Women,"Persons without a disability, difficulty or long-term condition",Good perceived mental health,34.3
2023-04,Canada (excluding territories),Women,"Persons without a disability, difficulty or long-term condition",Fair or poor perceived mental health,9.6
2023-04,Canada (excluding territories),Women,"Total, LGBTQ2+ and non-LGBTQ2+ people",Excellent or very good perceived mental health,43.9
2023-04,Canada (excluding territories),Women,"Total, LGBTQ2+ and non-LGBTQ2+ people",Good perceived mental health,34.9
2023-04,Canada (excluding territories),Women,"Total, LGBTQ2+ and non-LGBTQ2+ people",Fair or poor perceived mental health,21.1
2023-04,Canada (excluding territories),Women,LGBTQ2+ people,Excellent or very good perceived mental health,22.2
2023-04,Canada (excluding territories),Women,LGBTQ2+ people,Good perceived mental health,32.5
2023-04,Canada (excluding territories),Women,LGBTQ2+ people,Fair or poor perceived mental health,45.3
2023-04,Canada (excluding territories),Women,Non-LGBTQ2+ people,Excellent or very good perceived mental health,45.9
2023-04,Canada (excluding territories),Women,Non-LGBTQ2+ people,Good perceived mental health,35.2
2023-04,Canada (excluding territories),Women,Non-LGBTQ2+ people,Fair or poor perceived mental health,19
2023-04,Canada (excluding territories),Women,"Total, highest certificate, diploma or degree",Excellent or very good perceived mental health,43.9
2023-04,Canada (excluding territories),Women,"Total, highest certificate, diploma or degree",Good perceived mental health,34.9
2023-04,Canada (excluding territories),Women,"Total, highest certificate, diploma or degree",Fair or poor perceived mental health,21.1
2023-04,Canada (excluding territories),Women,"No certificate, diploma or degree",Excellent or very good perceived mental health,37.7
2023-04,Canada (excluding territories),Women,"No certificate, diploma or degree",Good perceived mental health,35.4
2023-04,Canada (excluding territories),Women,"No certificate, diploma or degree",Fair or poor perceived mental health,26.9
2023-04,Canada (excluding territories),Women,Secondary (high) school diploma or equivalency certificate,Excellent or very good perceived mental health,42.3
2023-04,Canada (excluding territories),Women,Secondary (high) school diploma or equivalency certificate,Good perceived mental health,34.7
2023-04,Canada (excluding territories),Women,Secondary (high) school diploma or equivalency certificate,Fair or poor perceived mental health,23
2023-04,Canada (excluding territories),Women,"Postsecondary certificate, diploma or degree",Excellent or very good perceived mental health,46.1
2023-04,Canada (excluding territories),Women,"Postsecondary certificate, diploma or degree",Good perceived mental health,34.9
2023-04,Canada (excluding territories),Women,"Postsecondary certificate, diploma or degree",Fair or poor perceived mental health,19
2023-04,Canada (excluding territories),Women,Postsecondary certificate or diploma below bachelor level,Excellent or very good perceived mental health,45.2
2023-04,Canada (excluding territories),Women,Postsecondary certificate or diploma below bachelor level,Good perceived mental health,34.3
2023-04,Canada (excluding territories),Women,Postsecondary certificate or diploma below bachelor level,Fair or poor perceived mental health,20.6
2023-04,Canada (excluding territories),Women,Apprenticeship or trades certificate or diploma,Excellent or very good perceived mental health,43.1
2023-04,Canada (excluding territories),Women,Apprenticeship or trades certificate or diploma,Good perceived mental health,31.9
2023-04,Canada (excluding territories),Women,Apprenticeship or trades certificate or diploma,Fair or poor perceived mental health,25
2023-04,Canada (excluding territories),Women,"College, CEGEP or other non-university certificate or diploma",Excellent or very good perceived mental health,44
2023-04,Canada (excluding territories),Women,"College, CEGEP or other non-university certificate or diploma",Good perceived mental health,35.3
2023-04,Canada (excluding territories),Women,"College, CEGEP or other non-university certificate or diploma",Fair or poor perceived mental health,20.7
2023-04,Canada (excluding territories),Women,University certificate or diploma below bachelor level,Excellent or very good perceived mental health,53.2
2023-04,Canada (excluding territories),Women,University certificate or diploma below bachelor level,Good perceived mental health,32.7
2023-04,Canada (excluding territories),Women,University certificate or diploma below bachelor level,Fair or poor perceived mental health,14.1
2023-04,Canada (excluding territories),Women,Bachelor's degree or higher,Excellent or very good perceived mental health,47
2023-04,Canada (excluding territories),Women,Bachelor's degree or higher,Good perceived mental health,35.6
2023-04,Canada (excluding territories),Women,Bachelor's degree or higher,Fair or poor perceived mental health,17.4
2023-04,Canada (excluding territories),Women,Bachelor's degree,Excellent or very good perceived mental health,45.7
2023-04,Canada (excluding territories),Women,Bachelor's degree,Good perceived mental health,37
2023-04,Canada (excluding territories),Women,Bachelor's degree,Fair or poor perceived mental health,17.3
2023-04,Canada (excluding territories),Women,"University certificate, diploma or degree above bachelor level",Excellent or very good perceived mental health,49.7
2023-04,Canada (excluding territories),Women,"University certificate, diploma or degree above bachelor level",Good perceived mental health,33
2023-04,Canada (excluding territories),Women,"University certificate, diploma or degree above bachelor level",Fair or poor perceived mental health,17.4
2023-04,Canada (excluding territories),Women,"Total, by main activity",Excellent or very good perceived mental health,43.9
2023-04,Canada (excluding territories),Women,"Total, by main activity",Good perceived mental health,34.9
2023-04,Canada (excluding territories),Women,"Total, by main activity",Fair or poor perceived mental health,21.1
2023-04,Canada (excluding territories),Women,Working at a paid job or business,Excellent or very good perceived mental health,42.2
2023-04,Canada (excluding territories),Women,Working at a paid job or business,Good perceived mental health,36.5
2023-04,Canada (excluding territories),Women,Working at a paid job or business,Fair or poor perceived mental health,21.3
2023-04,Canada (excluding territories),Women,Retired,Excellent or very good perceived mental health,56
2023-04,Canada (excluding territories),Women,Retired,Good perceived mental health,31.4
2023-04,Canada (excluding territories),Women,Retired,Fair or poor perceived mental health,12.6
2023-04,Canada (excluding territories),Women,Other activity,Excellent or very good perceived mental health,36.9
2023-04,Canada (excluding territories),Women,Other activity,Good perceived mental health,35.3
2023-04,Canada (excluding territories),Women,Other activity,Fair or poor perceived mental health,27.9
2023-04,Canada (excluding territories),Women,"Total, urban and rural areas",Excellent or very good perceived mental health,43.9
2023-04,Canada (excluding territories),Women,"Total, urban and rural areas",Good perceived mental health,34.9
2023-04,Canada (excluding territories),Women,"Total, urban and rural areas",Fair or poor perceived mental health,21.1
2023-04,Canada (excluding territories),Women,Urban areas,Excellent or very good perceived mental health,43.4
2023-04,Canada (excluding territories),Women,Urban areas,Good perceived mental health,34.9
2023-04,Canada (excluding territories),Women,Urban areas,Fair or poor perceived mental health,21.8
2023-04,Canada (excluding territories),Women,Rural areas,Excellent or very good perceived mental health,47.4
2023-04,Canada (excluding territories),Women,Rural areas,Good perceived mental health,35.4
2023-04,Canada (excluding territories),Women,Rural areas,Fair or poor perceived mental health,17.1
2023-07,Canada (excluding territories),"Total, all persons","Total, 15 years and over",Excellent or very good perceived mental health,47.3
2023-07,Canada (excluding territories),"Total, all persons","Total, 15 years and over",Good perceived mental health,33
2023-07,Canada (excluding territories),"Total, all persons","Total, 15 years and over",Fair or poor perceived mental health,19.6
2023-07,Canada (excluding territories),"Total, all persons",15 to 24 years,Excellent or very good perceived mental health,39
2023-07,Canada (excluding territories),"Total, all persons",15 to 24 years,Good perceived mental health,32
2023-07,Canada (excluding territories),"Total, all persons",15 to 24 years,Fair or poor perceived mental health,29
2023-07,Canada (excluding territories),"Total, all persons",25 to 54 years,Excellent or very good perceived mental health,42.8
2023-07,Canada (excluding territories),"Total, all persons",25 to 54 years,Good perceived mental health,34.7
2023-07,Canada (excluding territories),"Total, all persons",25 to 54 years,Fair or poor perceived mental health,22.5
2023-07,Canada (excluding territories),"Total, all persons",25 to 34 years,Excellent or very good perceived mental health,37.6
2023-07,Canada (excluding territories),"Total, all persons",25 to 34 years,Good perceived mental health,34.8
2023-07,Canada (excluding territories),"Total, all persons",25 to 34 years,Fair or poor perceived mental health,27.6
2023-07,Canada (excluding territories),"Total, all persons",35 to 44 years,Excellent or very good perceived mental health,44.2
2023-07,Canada (excluding territories),"Total, all persons",35 to 44 years,Good perceived mental health,35.1
2023-07,Canada (excluding territories),"Total, all persons",35 to 44 years,Fair or poor perceived mental health,20.7
2023-07,Canada (excluding territories),"Total, all persons",45 to 54 years,Excellent or very good perceived mental health,47.4
2023-07,Canada (excluding territories),"Total, all persons",45 to 54 years,Good perceived mental health,34
2023-07,Canada (excluding territories),"Total, all persons",45 to 54 years,Fair or poor perceived mental health,18.7
2023-07,Canada (excluding territories),"Total, all persons",55 to 64 years,Excellent or very good perceived mental health,52.3
2023-07,Canada (excluding territories),"Total, all persons",55 to 64 years,Good perceived mental health,31.8
2023-07,Canada (excluding territories),"Total, all persons",55 to 64 years,Fair or poor perceived mental health,16
